dataset,channel,temp_C,cycle,weeks,type,date,file_path,pattern_chunks
main_cell,ch2,25,2900,,Pattern,2023-05-08,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_05_08_에기연 열화셀_25deg_2900cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,3000,,Pattern,2023-05-16,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_05_16_에기연 열화셀_25deg_3000cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,3100,,Pattern,2023-05-23,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_05_23_에기연 열화셀_25deg_3100cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,0,,RPT,2022-09-06,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\RPT\22_09_06_에기연 열화셀_25deg_RPT_ch2_M01Ch002(002).csv,
main_cell,ch2,25,100,,RPT,2022-09-26,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\RPT\22_09_26_에기연 열화셀_25deg_100cycle_RPT_ch2_M01Ch002(002).csv,
main_cell,ch2,25,200,,RPT,2022-10-04,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\RPT\22_10_04_에기연 열화셀_25deg_200cycle_RPT_ch2_M01Ch002(002).csv,
main_cell,ch2,25,300,,RPT,2022-10-12,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\RPT\22_10_12_에기연 열화셀_25deg_300cycle_RPT_ch2_M01Ch002(002).csv,
main_cell,ch2,25,400,,RPT,2022-10-18,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\RPT\22_10_18_에기연 열화셀_25deg_400cycle_RPT_ch2_M01Ch002(002).csv,
main_cell,ch2,25,500,,RPT,2022-10-25,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\RPT\22_10_25_에기연 열화셀_25deg_500cycle_RPT_ch2_M01Ch002(002).csv,
main_cell,ch2,25,600,,RPT,2022-11-01,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\RPT\22_11_01_에기연 열화셀_25deg_600cycle_RPT_ch2_M01Ch002(002).csv,
